category,name,price,description
Starters,Paneer Tikka,220,Marinated cottage cheese cubes grilled in tandoor with spices
Starters,Chicken Tikka,260,Tender chicken pieces marinated in yogurt and spices grilled to perfection
Starters,Veg Seekh Kebab,180,Spiced mixed vegetable kebabs grilled on skewers
Starters,Crispy Corn,150,Golden fried corn tossed with herbs and lime
Starters,Hara Bhara Kebab,160,Spinach and peas patties with mint chutney
Soups,Tomato Shorba,120,Classic Indian spiced tomato soup with fresh coriander
Soups,Sweet Corn Soup,130,Creamy sweet corn soup with vegetables
Soups,Manchow Soup,140,Spicy Indo-Chinese soup with crispy noodles
Main Course,Butter Chicken,320,Tender chicken in rich creamy tomato-butter gravy
Main Course,Paneer Butter Masala,280,Cottage cheese in velvety tomato and cashew gravy
Main Course,Dal Makhani,220,Slow-cooked black lentils with butter and cream
Main Course,Palak Paneer,260,Fresh cottage cheese in smooth spiced spinach gravy
Main Course,Chicken Biryani,350,Aromatic basmati rice layered with spiced chicken and saffron
Main Course,Veg Biryani,280,Fragrant basmati rice cooked with mixed vegetables and whole spices
Main Course,Mutton Rogan Josh,420,Slow-cooked tender mutton in Kashmiri spiced gravy
Main Course,Kadai Paneer,270,Cottage cheese cooked with bell peppers in kadai masala
Breads,Butter Naan,50,Soft leavened bread baked in tandoor with butter
Breads,Garlic Naan,60,Tandoor baked bread topped with garlic and fresh coriander
Breads,Tandoori Roti,40,Whole wheat bread baked in tandoor
Breads,Laccha Paratha,70,Flaky layered whole wheat bread
Breads,Missi Roti,55,Spiced gram flour and wheat bread
Rice,Jeera Rice,130,Basmati rice tempered with cumin seeds and ghee
Rice,Steamed Rice,100,Plain steamed basmati rice
Rice,Egg Fried Rice,180,Wok-tossed rice with eggs and vegetables
Desserts,Gulab Jamun,90,Soft milk dumplings soaked in rose flavored sugar syrup
Desserts,Rasgulla,80,Soft cottage cheese balls in light sugar syrup
Desserts,Kulfi,110,Traditional Indian ice cream in pistachio and mango flavors
Desserts,Gajar Halwa,120,Slow-cooked carrot pudding with ghee nuts and cardamom
Desserts,Mango Phirni,130,Creamy rice pudding with fresh mango pulp
Beverages,Mango Lassi,100,Chilled yogurt drink blended with fresh mango pulp
Beverages,Sweet Lassi,80,Chilled sweetened yogurt drink with cardamom
Beverages,Masala Chai,50,Spiced Indian tea brewed with ginger and cardamom
Beverages,Fresh Lime Soda,70,Chilled lime juice with soda sweet or salted
Beverages,Cold Coffee,120,Chilled coffee blended with milk and ice cream
